"position" "polygyne_monogyne"
"1" 159039 0.071784890843198
"2" 359471 -0.0149484608569701
"3" 416191 -0.0413842880771293
"4" 493425 -0.0736824067954275
"5" 530593 0.0065178707610961
"6" 549174 -0.0359932737139799
"7" 564966 0.071784890843198
"8" 591540 -0.0149381083310952
"9" 608386 -0.071803961625508
"10" 621302 -0.0178152977227662
"11" 633934 0.0445339142145226
"12" 640446 -0.0827644382539986
"13" 654512 0.0160893310606323
"14" 671913 -0.145916184032173
"15" 680438 -0.00733154839351825
"16" 711779 0.0201609891195715
"17" 747306 -0.107073226777723
"18" 807134 -0.0161606335595953
"19" 832743 0.038748698365354
"20" 835702 0.053845907555511
"21" 845259 0.0263102494430981
"22" 864343 -0.00515762233117303
"23" 878475 0.0201609891195715
"24" 888981 0.031424404313514
"25" 897077 -0.145916184032173
"26" 914023 -0.0404124196495079
"27" 921363 -0.0181309311073576
"28" 928024 0.0816380484778181
"29" 940078 -0.00263692272484285
"30" 957818 -0.0182380156292522
"31" 970125 -0.0507414374565729
"32" 979323 0.0816380484778181
"33" 985295 -0.0466908415355209
"34" 1013217 -0.204560475875743
"35" 1018632 0.0177330804717573
"36" 1030144 -0.0466908415355209
"37" 1049274 -0.0330456374189189
"38" 1062131 -0.0772933087372128
"39" 1083474 -0.0131902751008227
"40" 1101301 0.133188423335785
"41" 1113767 0.102109585775736
"42" 1130271 -0.0377219126457696
"43" 1140022 0.0789309852248256
"44" 1171015 -0.0872064596787681
"45" 1185681 0.130289905282523
"46" 1197412 0.053845907555511
"47" 1205373 0.0544215923866793
"48" 1218107 -0.0172945582727473
"49" 1232740 0.0581373550441627
"50" 1253643 0.048924220997168
"51" 1267223 -0.151577451035747
"52" 1274718 -0.0260659866740501
"53" 1293158 0.131234893695032
"54" 1334465 -0.0896715107604696
"55" 1343888 -0.107073226777723
"56" 1364292 0.0126442341420907
"57" 1371443 -0.00193932444590062
"58" 1379126 0.0281385883744391
"59" 1383480 -0.086426966292135
"60" 1430136 0.0248247383078844
"61" 1441829 -0.0177547224091851
"62" 1464262 -0.0181275018499691
"63" 1473431 0.071784890843198
"64" 1483898 -0.0129891008939257
"65" 1491720 -0.0507414374565729
"66" 1497839 -0.0437522089120995
"67" 1512108 0.038748698365354
"68" 1517404 0.0253682179914991
"69" 1532545 -0.0180370941551818
"70" 1552386 -0.107073226777723
"71" 1559212 0.0258611414254754
